count,dice_rolls,Result
2196,1,Win
735,2,Win
599,3,Win
387,4,Win
273,5,Win
211,6,Win
135,7,Win
108,8,Win
83,9,Win
46,10,Win
50,11,Win
30,12,Win
17,13,Win
13,14,Win
8,15,Win
7,16,Win
5,17,Win
8,18,Win
4,19,Win
1,20,Win
0,21,Win
2,22,Win
0,23,Win
0,24,Win
0,25,Win
0,26,Win
1,27,Win
1159,1,Loss
1134,2,Loss
767,3,Loss
564,4,Loss
376,5,Loss
295,6,Loss
221,7,Loss
143,8,Loss
113,9,Loss
88,10,Loss
64,11,Loss
48,12,Loss
26,13,Loss
20,14,Loss
9,15,Loss
17,16,Loss
16,17,Loss
6,18,Loss
3,19,Loss
4,20,Loss
3,21,Loss
3,22,Loss
1,23,Loss
0,24,Loss
0,25,Loss
1,26,Loss
