count,dice_rolls,Result
2279,1,Win
778,2,Win
570,3,Win
345,4,Win
272,5,Win
205,6,Win
133,7,Win
88,8,Win
75,9,Win
49,10,Win
35,11,Win
37,12,Win
32,13,Win
16,14,Win
8,15,Win
8,16,Win
10,17,Win
3,18,Win
4,19,Win
1,20,Win
3,21,Win
1,22,Win
2,23,Win
0,24,Win
1,25,Win
1124,1,Loss
1129,2,Loss
801,3,Loss
575,4,Loss
418,5,Loss
272,6,Loss
212,7,Loss
163,8,Loss
90,9,Loss
84,10,Loss
52,11,Loss
37,12,Loss
22,13,Loss
16,14,Loss
11,15,Loss
11,16,Loss
8,17,Loss
5,18,Loss
7,19,Loss
1,20,Loss
1,21,Loss
0,22,Loss
2,23,Loss
1,24,Loss
0,25,Loss
2,26,Loss
1,27,Loss
