n,alpha,mean
1,9.88131e-324,0.633939
3,0.125912,0.531519
5,0.098028,0.65172
7,0.0851637,0.667893
9,0.0668897,0.679296
11,0.0554229,0.667291
13,0.0595619,0.626546
15,0.0593188,0.660655
17,0.0664296,0.638189
19,0.0734573,0.611828
21,0.0668155,0.617761
23,0.068957,0.645083
25,0.0746267,0.625935
27,0.0838041,0.596122
29,0.0809085,0.608893
31,0.0760758,0.613183
33,0.0719028,0.607919
35,0.0712386,0.603901
37,0.0686345,0.601579
39,0.0708467,0.595056
41,0.0693574,0.58502
43,0.0671892,0.591308
45,0.0670413,0.601554
47,0.0646321,0.601478
49,0.0635579,0.607316
51,0.0622458,0.601308
53,0.063662,0.589173
55,0.0644557,0.595134
57,0.065292,0.597523
59,0.0737282,0.578216
61,0.0724019,0.583292
63,0.0715584,0.58259
65,0.0719401,0.575712
67,0.0698747,0.576966
69,0.0696036,0.570234
71,0.0681732,0.573894
73,0.0671204,0.576794
75,0.0667778,0.575433
77,0.0670492,0.57407
79,0.0679635,0.566958
81,0.0674179,0.568096
83,0.0661257,0.57094
85,0.0690244,0.560642
87,0.0677705,0.561048
89,0.0684977,0.557783
91,0.0688393,0.56181
93,0.0687066,0.556387
95,0.0678937,0.553266
97,0.069021,0.560436
99,0.0720321,0.550905
101,0.0716314,0.552234
103,0.0716769,0.550825
105,0.0730356,0.544318
107,0.0734116,0.549085
109,0.0729587,0.550587
111,0.0729041,0.54967
113,0.0725291,0.545953
115,0.0730093,0.547534
117,0.0718647,0.548858
119,0.0714703,0.552566
121,0.0711609,0.548744
123,0.0703302,0.551034
125,0.0713868,0.547221
127,0.0714924,0.543322
129,0.0726151,0.544567
131,0.0716792,0.543266
133,0.072705,0.537761
135,0.0717065,0.537785
137,0.0710641,0.536423
139,0.0725261,0.53041
141,0.0741695,0.529002
143,0.0737929,0.526073
145,0.0734509,0.523009
147,0.0734277,0.526013
149,0.0738419,0.527966
151,0.0733099,0.527194
153,0.0727139,0.52715
155,0.0733619,0.528398
157,0.0735678,0.52494
159,0.0730112,0.525258
161,0.0727209,0.522607
163,0.072238,0.523829
165,0.0714748,0.522918
167,0.0721316,0.527139
169,0.073906,0.52682
171,0.0752994,0.531988
173,0.075354,0.532914
175,0.0757412,0.529135
177,0.0754781,0.531569
179,0.0758866,0.529485
181,0.0757978,0.52871
183,0.0765335,0.532866
185,0.0775286,0.532229
187,0.0773707,0.529956
189,0.0787375,0.529177
191,0.0785059,0.530038
193,0.0784781,0.528479
195,0.0783055,0.530825
197,0.0789525,0.534523
199,0.0791235,0.536401
201,0.0787938,0.537298
203,0.07898,0.540148
205,0.0790914,0.539544
207,0.0789173,0.540658
209,0.0802748,0.540028
211,0.0810845,0.536225
213,0.0812981,0.538841
215,0.0815196,0.537709
217,0.0815018,0.538105
219,0.0818642,0.537936
221,0.0828807,0.534034
223,0.0826252,0.531982
225,0.0827056,0.530495
227,0.0831853,0.528592
229,0.0830781,0.530045
231,0.082535,0.531127
233,0.0824674,0.5328
235,0.081917,0.533034
237,0.0815917,0.532843
239,0.0817555,0.531957
241,0.0819101,0.529328
243,0.0824836,0.532539
245,0.0832539,0.529118
247,0.083633,0.527413
249,0.0833338,0.527784
251,0.0832039,0.529404
253,0.0833921,0.528929
255,0.0834086,0.530009
257,0.0836912,0.530544
259,0.0845439,0.527171
261,0.0839626,0.527094
263,0.0839474,0.527765
265,0.0840336,0.52552
267,0.0847304,0.524934
269,0.0846272,0.523936
271,0.0844435,0.525429
273,0.083941,0.524802
275,0.0835291,0.525609
277,0.0830297,0.525296
279,0.0831013,0.52689
281,0.0830337,0.525221
283,0.0830685,0.526713
285,0.0825144,0.526631
287,0.0823804,0.527112
289,0.0819512,0.526122
291,0.0826213,0.525307
293,0.0832302,0.528126
295,0.0836598,0.525523
297,0.0838122,0.52332
299,0.0842877,0.525903
301,0.0838381,0.525502
303,0.0834735,0.526622
305,0.0835057,0.525013
307,0.0833886,0.524583
309,0.0832935,0.526269
311,0.0834627,0.528154
313,0.0836757,0.525964
315,0.0838058,0.527953
317,0.0835213,0.527515
319,0.0837789,0.526177
321,0.0833217,0.52679
323,0.0831609,0.528133
325,0.0834974,0.526388
327,0.0832523,0.527642
329,0.083252,0.527347
331,0.0827503,0.527377
333,0.0826555,0.525871
335,0.0824113,0.524822
337,0.0819903,0.525021
339,0.0819001,0.523819
341,0.0819823,0.523772
343,0.0815726,0.523173
345,0.081904,0.521277
347,0.0818951,0.520587
349,0.0816116,0.521589
351,0.0813644,0.52145
353,0.0810003,0.520974
355,0.0812987,0.523013
357,0.0809474,0.523604
359,0.0806227,0.524169
361,0.0808511,0.52268
363,0.0808109,0.522843
365,0.0805841,0.522087
367,0.0807009,0.522455
369,0.0808596,0.523481
371,0.0807743,0.522204
373,0.0807872,0.522361
375,0.08052,0.521861
377,0.0804484,0.521575
379,0.0807919,0.523584
381,0.0804077,0.523702
383,0.0805146,0.523492
385,0.0808597,0.521501
387,0.0805585,0.522245
389,0.0807708,0.522032
391,0.0804907,0.521287
393,0.0805121,0.520912
395,0.0805254,0.519632
397,0.0803251,0.518684
399,0.080223,0.517465
401,0.0801647,0.518717
403,0.0801999,0.517487
405,0.0804413,0.516264
407,0.0802141,0.516516
409,0.0800194,0.51658
411,0.0799079,0.516019
413,0.0801618,0.51773
415,0.0806806,0.517929
417,0.0806477,0.519048
419,0.0805986,0.520285
421,0.0804687,0.520259
423,0.0810296,0.520014
425,0.0815642,0.517959
427,0.0814169,0.516915
429,0.0810706,0.517274
431,0.0807242,0.516999
433,0.0808611,0.517534
435,0.0807457,0.518292
437,0.0811442,0.520168
439,0.0808485,0.520715
441,0.0808906,0.519352
443,0.0810537,0.519415
445,0.0814471,0.521245
447,0.0814593,0.521592
449,0.0813963,0.52068
451,0.0812454,0.520189
453,0.0809236,0.52024
455,0.0809044,0.519246
457,0.0807038,0.519663
459,0.080518,0.519708
461,0.0807548,0.518146
463,0.0805397,0.518375
465,0.0805886,0.517077
467,0.0807022,0.515697
469,0.0808768,0.515647
471,0.0807616,0.516017
473,0.0809245,0.515427
475,0.0810524,0.514577
477,0.0810249,0.515474
479,0.0815196,0.515329
481,0.0816196,0.51439
483,0.0814182,0.513821
485,0.0813912,0.512811
487,0.081791,0.51455
489,0.081732,0.515555
491,0.081881,0.515867
493,0.0823318,0.517645
495,0.0824319,0.516411
497,0.0822545,0.516012
499,0.0821165,0.515209
501,0.0822405,0.514118
503,0.0820665,0.51464
505,0.081881,0.514797
507,0.0816542,0.51443
509,0.0814545,0.513867
511,0.0812703,0.51314
513,0.0814193,0.514232
515,0.0815541,0.514106
517,0.0817873,0.515507
519,0.0820509,0.515238
521,0.0818168,0.514734
523,0.0816601,0.514895
525,0.0817732,0.5137
527,0.0814751,0.513682
529,0.0812661,0.514295
531,0.081656,0.514392
533,0.0815453,0.515248
535,0.0812627,0.515327
537,0.0814709,0.513946
539,0.0813033,0.514189
541,0.0813602,0.513621
543,0.0811665,0.514221
545,0.0809205,0.514582
547,0.0807829,0.515318
549,0.0807457,0.515539
551,0.0805662,0.51594
553,0.0806434,0.514794
555,0.0806313,0.514014
557,0.0804109,0.51379
559,0.0809492,0.513809
561,0.0812341,0.512446
563,0.0816197,0.512562
565,0.0815232,0.513385
567,0.0815077,0.51394
569,0.081629,0.51403
571,0.0814231,0.513649
573,0.0816411,0.512406
575,0.0819642,0.51255
577,0.0819571,0.513338
579,0.0819402,0.514189
581,0.0820178,0.513902
583,0.0820233,0.514801
585,0.0819003,0.514985
587,0.0817071,0.515037
589,0.081493,0.514583
591,0.0812823,0.515033
593,0.0811592,0.515349
595,0.0810751,0.514918
597,0.0812002,0.51411
599,0.0812543,0.513206
601,0.0811452,0.512522
603,0.0811371,0.51319
605,0.0812427,0.512254
607,0.0813419,0.51299
609,0.0816534,0.51307
611,0.0816535,0.513963
613,0.0815125,0.513529
615,0.0812706,0.513804
617,0.0814189,0.514201
619,0.0812713,0.514057
621,0.0813775,0.514585
623,0.0813521,0.514636
625,0.0813732,0.515579
627,0.0815502,0.515978
629,0.0818025,0.515848
631,0.0818631,0.515471
633,0.0816203,0.515525
635,0.0815851,0.516258
637,0.0816187,0.515824
639,0.0815611,0.516503
641,0.0815115,0.516387
643,0.081332,0.515974
645,0.0814156,0.516175
647,0.0814884,0.515536
649,0.0814802,0.515827
651,0.0814734,0.514963
653,0.0812852,0.514599
655,0.0816272,0.513256
657,0.0817665,0.51225
659,0.0816969,0.511572
661,0.0819649,0.510323
663,0.0817958,0.510115
665,0.0818381,0.510975
667,0.0816478,0.510625
669,0.0818099,0.509617
671,0.0819311,0.509855
673,0.0821043,0.508773
675,0.0819778,0.508785
677,0.0820398,0.508626
679,0.0823566,0.508434
681,0.0825999,0.507239
683,0.0824481,0.506786
685,0.0822586,0.506601
687,0.0822214,0.507173
689,0.0822451,0.507565
691,0.0822805,0.50692
693,0.082402,0.507412
695,0.0824585,0.507024
697,0.0822951,0.506761
699,0.0824471,0.507164
701,0.0826392,0.508268
703,0.0826553,0.508931
705,0.0826819,0.508085
707,0.0826151,0.5074
709,0.0829079,0.506185
711,0.0829041,0.505408
713,0.0828078,0.505078
715,0.0826779,0.505556
717,0.082874,0.505568
719,0.0827428,0.505433
721,0.0828865,0.505061
723,0.0830858,0.504752
725,0.0832723,0.504649
727,0.0831115,0.504697
729,0.0829342,0.504775
731,0.0828215,0.504684
733,0.0827073,0.504417
735,0.0826856,0.504315
737,0.0824675,0.504214
739,0.0825508,0.503615
741,0.0823699,0.503449
743,0.082279,0.504038
745,0.0823417,0.504284
747,0.082245,0.504702
749,0.0822044,0.504096
751,0.0822281,0.503439
753,0.0823457,0.504385
755,0.0823902,0.504896
757,0.0824159,0.504664
759,0.0824546,0.503887
761,0.0826505,0.504899
763,0.0824763,0.504565
765,0.0823768,0.504276
767,0.0824163,0.504039
769,0.0826867,0.502928
771,0.0825602,0.502674
773,0.0825959,0.503209
775,0.0824473,0.502811
777,0.0824687,0.502869
779,0.0823998,0.502631
781,0.0825441,0.502951
783,0.0827327,0.50282
785,0.0826986,0.502351
787,0.0827361,0.503143
789,0.0827522,0.502801
791,0.0827981,0.503265
