n,alpha,mean
1,9.88131e-324,0.160849
3,0.137077,0.68233
5,0.0955832,0.774521
7,0.0849009,0.763644
9,0.0740575,0.774421
11,0.109964,0.689412
13,0.093943,0.692706
15,0.0830814,0.682201
17,0.0757557,0.664758
19,0.0778276,0.632356
21,0.0782905,0.660355
23,0.0895639,0.618874
25,0.0873749,0.606892
27,0.0938038,0.578435
29,0.0922005,0.575859
31,0.0967916,0.572411
33,0.0985066,0.594452
35,0.103809,0.585154
37,0.100291,0.590808
39,0.0980775,0.603346
41,0.0994287,0.59747
43,0.0977938,0.602231
45,0.0973558,0.607712
47,0.0956697,0.615509
49,0.0972847,0.603841
51,0.0970781,0.592553
53,0.098804,0.579348
55,0.0957818,0.582926
57,0.0981413,0.574407
59,0.0977936,0.584264
61,0.095711,0.590164
63,0.0976103,0.584906
65,0.0983506,0.577774
67,0.095602,0.576922
69,0.0931234,0.575401
71,0.0918168,0.574538
73,0.0913719,0.573227
75,0.0893618,0.576635
77,0.0884917,0.57616
79,0.0869209,0.574528
81,0.0861391,0.576143
83,0.0846818,0.577777
85,0.0842197,0.571876
87,0.0849261,0.572391
89,0.0864377,0.56452
91,0.086909,0.564165
93,0.0869176,0.57025
95,0.0888229,0.562174
97,0.0899192,0.55737
99,0.088993,0.561122
101,0.0910611,0.552394
103,0.090021,0.548677
105,0.092003,0.548367
107,0.0932143,0.545581
109,0.0918606,0.545736
111,0.0924921,0.544529
113,0.0920809,0.547965
115,0.0915743,0.548461
117,0.0905201,0.546682
119,0.0895824,0.549811
121,0.0882072,0.55114
123,0.0881663,0.552793
125,0.0878978,0.556015
127,0.0868192,0.557929
129,0.085482,0.558198
131,0.0849344,0.556347
133,0.0840514,0.558635
135,0.0841415,0.562844
137,0.0843851,0.567181
139,0.0843959,0.563793
141,0.0833145,0.565057
143,0.0841723,0.565657
145,0.0834491,0.563829
147,0.0846597,0.562381
149,0.0846811,0.566311
151,0.0835725,0.566015
153,0.0826021,0.564779
155,0.0841342,0.563462
157,0.0832283,0.563116
159,0.0833186,0.566207
161,0.0835718,0.566142
163,0.084473,0.562965
165,0.0834549,0.562732
167,0.0831502,0.562105
169,0.082737,0.560092
171,0.0826026,0.557256
173,0.0823865,0.558358
175,0.0816126,0.556966
177,0.0808879,0.557565
179,0.0803835,0.556511
181,0.0803773,0.556816
183,0.0806133,0.555654
185,0.0813235,0.551853
187,0.0810096,0.554305
189,0.0803677,0.554297
191,0.0805169,0.557414
193,0.0802048,0.555117
195,0.0805132,0.558489
197,0.0804808,0.561035
199,0.0807701,0.558242
201,0.0806852,0.560014
203,0.0802902,0.561849
205,0.0812916,0.561502
207,0.0810008,0.560662
209,0.0802295,0.560816
211,0.0802832,0.561201
213,0.0796569,0.56011
215,0.07919,0.561563
217,0.0785628,0.560675
219,0.0784195,0.559113
221,0.0782591,0.559368
223,0.0791713,0.555546
225,0.0795836,0.554171
227,0.0796195,0.556358
229,0.0802176,0.555093
231,0.0804552,0.55385
233,0.0799944,0.554985
235,0.0793166,0.554831
237,0.0793453,0.557241
239,0.0791697,0.555496
241,0.0786683,0.554615
243,0.078403,0.554807
245,0.0797835,0.554376
247,0.0791498,0.554289
249,0.0792141,0.552179
251,0.0790232,0.551652
253,0.0787666,0.552626
255,0.0786944,0.550658
257,0.078828,0.551326
259,0.0786947,0.553138
261,0.0789043,0.554183
263,0.0790813,0.555262
265,0.0792137,0.557524
267,0.0786579,0.557753
269,0.0783301,0.55914
271,0.0792135,0.555845
273,0.0789153,0.554607
275,0.0790275,0.554851
277,0.0784928,0.554345
279,0.0786106,0.556508
281,0.0780812,0.556569
283,0.0786651,0.553733
285,0.0782553,0.553085
287,0.0781062,0.551429
289,0.078403,0.551497
291,0.0787354,0.552146
293,0.0787011,0.550417
295,0.0789958,0.550933
297,0.0788393,0.551093
299,0.0790718,0.549743
301,0.0786713,0.550419
303,0.0788916,0.55017
305,0.0794455,0.547563
307,0.0796046,0.546779
309,0.0795314,0.547981
311,0.0794934,0.547118
313,0.0793011,0.547619
315,0.0791426,0.547554
317,0.0787409,0.547418
319,0.0791687,0.545145
321,0.079763,0.544579
323,0.0800064,0.5433
325,0.0799355,0.544096
327,0.0804347,0.543257
329,0.0800634,0.544084
331,0.0801161,0.544219
333,0.0804527,0.54226
335,0.0805369,0.541227
337,0.0808521,0.539083
339,0.0805274,0.538899
341,0.0811001,0.539139
343,0.0808997,0.540136
345,0.0811269,0.539849
347,0.0810282,0.538421
349,0.0808055,0.538776
351,0.080386,0.539148
353,0.0803483,0.537837
355,0.0803474,0.539357
357,0.0806494,0.538614
359,0.0804109,0.539668
361,0.0800217,0.539286
