n,alpha,mean
1,9.88131e-324,0.233175
3,0.0124782,0.330304
5,0.0107608,0.357516
7,0.0229426,0.35375
9,0.0556371,0.382807
11,0.0572533,0.394068
13,0.0571649,0.423204
15,0.0548664,0.450954
17,0.0538619,0.44514
19,0.0559578,0.466872
21,0.064077,0.460159
23,0.0675426,0.451032
25,0.0623749,0.454936
27,0.0596667,0.457206
29,0.0594415,0.44673
31,0.0631889,0.439864
33,0.0619418,0.428529
35,0.0607436,0.43149
37,0.0584939,0.435835
39,0.0583504,0.438255
41,0.0622973,0.44669
43,0.0685786,0.447668
45,0.0661405,0.449036
47,0.0640677,0.454675
49,0.0656039,0.441681
51,0.0684434,0.451153
53,0.0709507,0.437043
55,0.0718442,0.431816
57,0.0698677,0.433013
59,0.0703691,0.423246
61,0.0714298,0.431394
63,0.0733452,0.432101
65,0.0735369,0.425095
67,0.0722066,0.429592
69,0.0731683,0.439132
71,0.0732414,0.432752
73,0.0724239,0.434226
75,0.0740447,0.424366
77,0.0755572,0.433589
79,0.0756141,0.431346
81,0.0772347,0.430056
83,0.0792145,0.4305
85,0.0803919,0.42194
87,0.0791422,0.424503
89,0.0778227,0.426663
91,0.0792919,0.434952
93,0.0792171,0.439868
95,0.0783218,0.443597
97,0.0779906,0.438399
99,0.079838,0.441345
101,0.0807603,0.447487
103,0.0812336,0.445013
105,0.0824592,0.445626
107,0.0821522,0.450439
109,0.0818944,0.451909
111,0.0816422,0.455882
113,0.0819139,0.458015
115,0.0806365,0.456414
117,0.0821133,0.463359
119,0.0825881,0.458523
121,0.0818615,0.460494
123,0.0827517,0.462367
125,0.0831423,0.466761
127,0.0824671,0.469005
129,0.0825118,0.467708
131,0.0831642,0.466349
133,0.0828803,0.466709
135,0.0829342,0.465351
137,0.082884,0.467072
139,0.0827888,0.470772
141,0.081957,0.472978
143,0.0828018,0.473683
145,0.0816872,0.474289
147,0.0809185,0.472539
149,0.080293,0.470073
151,0.0803619,0.47396
153,0.0824704,0.474311
155,0.081681,0.476034
157,0.0826826,0.476746
159,0.083061,0.47284
161,0.0839706,0.472066
163,0.0850585,0.46694
165,0.0849487,0.470294
167,0.0847111,0.469074
169,0.0861895,0.469528
171,0.0857529,0.46919
173,0.0849281,0.469422
175,0.0847149,0.467902
177,0.0854409,0.472258
179,0.0848828,0.471307
181,0.0849388,0.468346
183,0.0862558,0.468788
185,0.0855367,0.469017
187,0.0849118,0.468727
189,0.0854588,0.47259
191,0.0847418,0.472241
193,0.0849549,0.474115
195,0.0843974,0.475868
197,0.084579,0.47533
199,0.0844018,0.4728
201,0.0838287,0.474126
203,0.0837194,0.475013
205,0.0837523,0.476508
207,0.0833967,0.477722
209,0.0842191,0.478725
211,0.0849442,0.480102
213,0.0853352,0.481603
215,0.0848524,0.481682
217,0.084968,0.48415
219,0.0852706,0.485681
221,0.0852084,0.486174
223,0.0855504,0.489234
225,0.0849064,0.490082
227,0.0844881,0.490962
229,0.0841992,0.490918
231,0.0851898,0.494788
233,0.0850202,0.494642
235,0.0851535,0.492026
237,0.0852299,0.49127
239,0.0853212,0.492079
241,0.0853753,0.494458
243,0.0857224,0.496733
245,0.0860037,0.499574
247,0.0854483,0.49997
249,0.0850976,0.50152
251,0.0847434,0.502921
253,0.0848012,0.505201
255,0.0842811,0.504583
257,0.0841665,0.504369
259,0.0836913,0.503437
261,0.0833932,0.502107
263,0.082889,0.502509
265,0.0831393,0.504931
267,0.083572,0.504249
269,0.0830804,0.504453
271,0.0832266,0.502287
273,0.0831599,0.503836
275,0.0832677,0.501837
277,0.0830828,0.503576
279,0.0828142,0.504646
281,0.0823094,0.504454
283,0.0825779,0.502082
285,0.0822167,0.500908
287,0.081951,0.501913
289,0.0824339,0.499211
291,0.0826372,0.501106
293,0.0822451,0.500076
295,0.0821119,0.498375
297,0.0827838,0.495504
299,0.0823719,0.494864
301,0.0820224,0.495994
303,0.0817277,0.495451
305,0.0812889,0.496088
307,0.0809966,0.495705
309,0.0805094,0.495215
311,0.0804794,0.496989
313,0.0810861,0.496498
315,0.0813469,0.494405
317,0.0814541,0.494662
319,0.0812549,0.495114
321,0.0815465,0.497267
323,0.0818566,0.49783
325,0.0820088,0.495821
327,0.0816885,0.49502
329,0.0816232,0.495053
331,0.0819166,0.497179
333,0.0815166,0.496447
335,0.0818787,0.496731
337,0.0823266,0.496177
339,0.082158,0.495039
341,0.0824597,0.495487
343,0.0824153,0.493887
345,0.0822925,0.494006
347,0.0825116,0.495461
349,0.0825793,0.493767
351,0.0827303,0.492071
353,0.0829905,0.490161
355,0.0829159,0.488704
357,0.082665,0.489448
359,0.0823532,0.489896
361,0.0821504,0.489181
363,0.0822986,0.490823
365,0.0821389,0.491846
367,0.0820501,0.493003
369,0.0822356,0.492025
371,0.0827446,0.494247
373,0.0830763,0.494717
375,0.0833138,0.494083
377,0.0828798,0.494184
379,0.082577,0.494982
381,0.0829894,0.494671
383,0.082966,0.496022
385,0.0831104,0.496696
387,0.0834592,0.496286
389,0.0831364,0.496722
391,0.0828943,0.49607
393,0.0828361,0.495601
395,0.0829259,0.493993
397,0.0836617,0.493962
399,0.0834268,0.494805
401,0.0837026,0.494281
403,0.0839116,0.495226
405,0.0840395,0.496195
407,0.0837338,0.496546
409,0.0838993,0.497458
411,0.0842482,0.497069
413,0.083927,0.497348
415,0.0837475,0.498371
417,0.0834753,0.499126
419,0.0831725,0.498785
421,0.0834917,0.496957
423,0.0833516,0.497817
425,0.0832426,0.497608
427,0.0836227,0.495742
429,0.0835145,0.496878
431,0.0834041,0.498014
433,0.0833283,0.497226
435,0.0830603,0.497702
437,0.0827027,0.497654
439,0.0827318,0.498682
441,0.0830399,0.500419
443,0.0828743,0.499464
445,0.083094,0.500868
447,0.0834366,0.501385
449,0.083159,0.501937
451,0.0830933,0.502837
453,0.0831569,0.502122
455,0.0830935,0.503243
457,0.0829792,0.504283
459,0.0831518,0.505291
461,0.0829172,0.505777
463,0.0832763,0.504066
465,0.083606,0.505786
467,0.083259,0.505604
469,0.0829763,0.505064
471,0.0833212,0.505303
473,0.0831066,0.504552
475,0.0832668,0.505361
477,0.0830339,0.504703
479,0.0833534,0.505132
481,0.0835598,0.506597
483,0.0834834,0.507452
485,0.0833639,0.508228
